round,date,place,author,title,filename
31,2008-09-30,7th,Airmann,"Meaning Of Life","sdc31_Airmann-meaning_of_life.zip"
31,2008-09-30,8th,aGIANTpupafish,"Linear Inequalities","sdc31_aGIANTpupafish-Linear_Inequalities.zip"
31,2008-09-30,9th,AnnonAshera,"Mood_CHANGE","sdc31_AnnonAshera-mood_CHANGE.rar"
31,2008-09-30,10th,rawspectra,"pn nd ppr","sdc31_rawspectra-pn_nd_ppr.zip"
31,2008-09-30,11th,sim,"aint_no_underground","sdc31_sim-sim-aint_no_underground.xrns"
31,2008-09-30,11th,hexmode,"Gut Brane","sdc31_mutilus-gut-brane.zip"
31,2008-09-30,11th,ambtax1,"pee anno","sdc31_ambtax1-pee_anno.xrns"
31,2008-09-30,12th,DrumAliens,"Stickman Waxes","sdc31_DrumAliens-stickman_waxes.xrns"
31,2008-09-30,AV,iNTERLuNe,"I will be back","sdc31_ViZiON-I_will_be_back.rar"
32,2008-10-27,1st,Knetter,"Sketches of the Mind","sdc32_Knetter-sketches_of_the_mind.xrns"
32,2008-10-27,2nd,chunter,"Ordinary Day","sdc32_chunter-Ordinary_Day.zip"
32,2008-10-27,3rd,CAG,"execution vertigo","sdc32_CAG-execution_vertigo.xrns"
32,2008-10-27,4th,Elephark,"walnut","sdc32_Elephark-walnut.zip"
32,2008-10-27,5th,Airmann,"Turbulences","sdc32_Airmann-turbulences.zip"
32,2008-10-27,6th,Team_CaNNon,"Brief Chemist","sdc32_Team_CaNNon-BriefChemist.xrns"
32,2008-10-27,7th,agargara,"antglitch","sdc32_agargara-antglitch.zip"
32,2008-10-27,8th,iNTERLuNe,"In search of the starfish","sdc32_ViZiON-In_search_of_the_starfish.rar"
32,2008-10-27,9th,andyray,"Coin Phrase","sdc32_andyray-SDC32_Andy_Ray_-_Coin_Phrase.zip"
32,2008-10-27,10th,ambtax1,"The Case of the Possessed Chip-olata","sdc32_ambtax1-sdc32_The_Case_of_the_Possessed_Chip-olata.rar"
32,2008-10-27,11th,trackernoob,"I Cant Draw","MikeSmith-I_Cant_Draw.rar"
32,2008-10-27,12th,rawspectra,"defeating the boss","sdc32_rawspectra-defeating_the_boss.xrns"
32,2008-10-27,12th,Marko,"Curved Gate in Moonlight","sdc32_Marko-Curved-gate-in-moonlight.zip"
33,2008-11-30,1st,Chotoro,"Slings, arrows and ringmail","sdc33_Chotoro-slings_arrows_and_ringmail.xrns"
33,2008-11-30,2nd,CAG,"ode to casio (cag remix)","sdc33_CAG-odetocasiormx_lofi.xrns"
33,2008-11-30,3rd,Mickrip,"The Knetter","mickrippon_theknetter.xrns"
33,2008-11-30,4th,Airmann,"Ruth ank amon Exodus Remix","sdc33_Airmann-ruth_ank_amon_exodus_remix.zip"
33,2008-11-30,5th,Sonicade,"Orange Message","sdc33_Sonicade-Orange_Message.xrns"
33,2008-11-30,6th,aGIANTpupafish,"Frozen Quiet (aGIANTremix)","sdc33_aGIANTpupafish-Frozen_Quiet_(aGIANTremix).zip"
33,2008-11-30,7th,chunter,"Music By Numbers (chunter remix)","sdc33_chunter-Music_By_Numbers-chunter_remix.zip"
33,2008-11-30,8th,agargara,"HS - \"Best Wishes (worst wishes mix)\"","sdc33_agargara-bestWishes(worstMix).zip"
33,2008-11-30,9th,organic_io,"Closing Time","sdc33_organic_io-ClosingTime.rar"
33,2008-11-30,10th,Marko,"Marmicas","sdc33_Marko-Marmicas.zip"
33,2008-11-30,11th,Elephark,"wabbitz","sdc33_Elephark-wabbitz.zip"
33,2008-11-30,12th,Shadowbane,"The First Casualty...","sdc33_Shadowbane-the_first_casualty.psy.zip"
34,2009-01-03,1st,Chotoro,"Camouflage Bells","sdc34_Chotoro-camouflage_bells.xrns"
34,2009-01-03,2nd,agargara,"Carol of the Bulls  ","sdc34_agargara-carolOfTheBulls.zip"
34,2009-01-03,3rd,juolac,"Cheezy Christmas","avemoire-acheezychristmas.xrns"
34,2009-01-03,4th,Mickrip,"It's Christmas Time Again","mickrippon_christmastimeagain_radioedit.xrns"
34,2009-01-03,5th,JustinCredible,"Snowflake","sdc34_JustinCredible-Snowflake.rar"
34,2009-01-03,6th,cralias,"Frozen Flowers","sdc34_cralias-frozen_flowers.rar"
34,2009-01-03,7th,chunter,"darkest night of the year","sdc34_chunter-darkest_night_of_the_year.rar"
34,2009-01-03,8th,ambtax1,"white christmas","sdc34_ambtax1-white_christmas_.xrns"
34,2009-01-03,9th,Airmann,"Born 2 Die","sdc34_Airmann-born_2_die.zip"
34,2009-01-03,10th,Disco_Calienteness,"The Spirit","sdc34_Disco_Calienteness-the_spirit.xrns"
34,2009-01-03,11th,aGIANTpupafish,"White Christmas","sdc34_aGIANTpupafish-White_Christmas.zip"
34,2009-01-03,12th,twoast,"merry christmas to all of my ex-girlfriends","sdc34_twoast-muumuu_1.zip"
34,2009-01-03,13th,40WPM,"A very gabba christmas","sdc34_40WPM-A_very_gabba_christmas.zip"
34,2009-01-03,AV,CAG,"snowstorm","sdc34_CAG-snowstorm.zip"
35,2009-02-09,1st,ambtax1,"Tailored","sdc35_ambtax1-sdc35_Tailored.xrns"
35,2009-02-09,2nd,juolac,"Feel your heart started","sdc35_juolac-feel_your_heart_started.xrns"
35,2009-02-09,3rd,chunter,"It's a New Day","sdc35_chunter-sdc35_Its_a_New_Day.zip"
35,2009-02-09,4th,agargara,"The Fabulous Suburban Life of Mister Jones","sdc35_agargara-misterJones.zip"
35,2009-02-09,5th,Knetter,"Meltdown","sdc35_Knetter-Meltdown.xrns"
35,2009-02-09,6th,nt,"Longing for Summer","sdc35_nt-nt_-_longing_for_summer.xrns.zip"
35,2009-02-09,7th,Chotoro,"Heart of Blood and Wax","sdc35_Chotoro-heart_of_blood_and_wax.xrns"
35,2009-02-09,8th,Airmann,"We Come In Peace","sdc35_Airmann-we_come_in_peace.zip"
35,2009-02-09,9th,aGIANTpupafish,"Fifty Four","sdc35_aGIANTpupafish-FiftyFour.rar"
35,2009-02-09,10th,cralias,"Dreamrider","sdc35_cralias-dreamrider.xrns"
35,2009-02-09,11th,Astroboy,"Forever","sdc35_Astroboy-forever.zip"
35,2009-02-09,11th,BleedingLiver,"Strangled for Pleasure","sdc35_BleedingLiver-strangled_for_pleasure.tar.gz"
35,2009-02-09,12th,CAG,"Madmen Mafia","sdc35_CAG-madmenmafia.xrns"
35,2009-02-09,13th,BruchFrei,"Unnamed","sdc35_BruchFrei-Bruch_Frei_-_Round_35.zip"
35,2009-02-09,14th,JustinCredible,"Burst","sdc35_JustinCredible-Burst.rar"
35,2009-02-09,15th,iNTERLuNe,"Old games will never die !","sdc35_iNTERLuNe-Old_games_will_never_die.rar"
35,2009-02-09,AV,kalachnikov,"Happy Light","sdc35_kalachnikov-Happy_Light.rar"
36,2009-03-12,1st,keith303,"stuck in the beehive","sdc36_keith303-stuck_in_the_beehive.zip"
36,2009-03-12,2nd,tenfour,"Escalier","sdc36_tenfour-Escalier.zip"
36,2009-03-12,3rd,Knetter,"Jetstream","sdc36_Knetter-Jetstream.xrns"
36,2009-03-12,4th,organic_io,"cerulean serenade","sdc36_organic_io-cerulean_serenade.rar"
36,2009-03-12,5th,CAG,"untitled1","sdc36_CAG-untitled1.xrns"
36,2009-03-12,6th,hexmode,"A Journey Of 400 Years And 12 Parsecs","sdc36_mutilus-a-journey-of-400-years-and-12-parsecs.zip"
36,2009-03-12,7th,nt_ambtax1,"Auto Trade-off","sdc36_nt_ambtax1-auto_trade-off.zip"
36,2009-03-12,8th,agargara,"Dancing With a Mirror","sdc36_agargara-dancingWithAMirror.zip"
36,2009-03-12,9th,chunter,"All My Days","sdc36_chunter-sdc36-allmydays.zip"
36,2009-03-12,10th,ambtax1,"I'm in love with a robot","sdc36_ambtax1-sdc36_in_love_with_a_robot_fin.xrns"
36,2009-03-12,11th,BleedingLiver,"Moonshine Blindness","sdc36_BleedingLiver-Moonshine_blindness.xrns"
36,2009-03-12,12th,sim,"computers_eat_rockNroll","sdc36_sim-computers_eat_rockNroll.zip"
36,2009-03-12,13th,cralias,"Beyond The Negative Infinity","sdc36_cralias-beyond_the_negative_infinity.xrns"
36,2009-03-12,14th,JustinCredible,"Lullaby","sdc36_JustinCredible-Lullaby.rar"
36,2009-03-12,15th,juolac,"Thrown togeher (justwannavote)","throwntogether.xrns"
36,2009-03-12,16th,Willisica,"Let my liver be bleeding","sdc36_Willisica-Let_my_liver_be_bleeding.rar"
36,2009-03-12,17th,Airmann,"One Hot Minute","sdc36_Airmann-one_hot_minute.zip"
36,2009-03-12,17th,andyray,"The Coypu Lick","sdc36_andyray-SDC36_-_AndyRay_-_The_Coypu_Lick.zip"
36,2009-03-12,18th,Marko,"Stones behind a splinter rain","sdc36_Marko-Stones-behind-a-splinter-rain.zip"
36,2009-03-12,AV,Storm,"Planet Orbit","sdc36_Storm-Planet_Orbit.xrns"
37,2009-04-20,1st,agargara,"Urban Afternoon","sdc37_agargara-urbanAfternoon.zip"
37,2009-04-20,2nd,ambtax1,"Dream of Flight - queeniemusic (ambtax1 music/mix)","sdc37_ambtax1-sdc37_MAIN_edit.rar"
37,2009-04-20,3rd,CredibleRay,"Rays of Credibility","sdc37_CredibleRay-SDC37_-_CredibleRay_-_Rays_of_Credibility.zip"
37,2009-04-20,4th,aGIANTpupafish,"Gondola","sdc37_aGIANTpupafish-Gondola.rar"
37,2009-04-20,5th,juolac,"Never too late","nevertoolate.xrns"
37,2009-04-20,6th,chunter,"Look Intro","sdc37_chunter-sdc37-lookintro.zip"
37,2009-04-20,7th,andyray,"Woot Now","sdc37_andyray-SDC37_-_AndyRay_-_Woot_Now.zip"
37,2009-04-20,8th,attwad,"TakaDenki","sdc37_attwad-takadenki.zip"
37,2009-04-20,9th,hexmode,"Schwa","sdc37_mutilus-schwa.zip"
37,2009-04-20,10th,Elephark,"firewood","sdc37_Elephark-firewood.zip"
37,2009-04-20,11th,cralias,"Compromise Failure","sdc37_cralias-compromise_failure.xrns"
37,2009-04-20,12th,PLOVA,"Methods (SDC revised version)","sdc37_PLOVA-methods_(SDC_revised_version).rar"
37,2009-04-20,13th,Programix,"Emptiness","sdc_37_emptiness.xrns"
37,2009-04-20,14th,rixtr66,"Dementia","sdc37_rixtr66-sdc37_rixtr66.rar"
37,2009-04-20,AV,dj_szary_kicaj,"krew z cipy / sok z dupy","sdc37_dj_szary_kicaj-dj_szary_kicaj-krew_z_cipy-sok_z_dupy.xrns"
38,2009-05-25,1st,kalachnikov,"You wanna goa","sdc38_kalachnikov-You_wanna_goa.rar"
38,2009-05-25,2nd,Knetter,"ChipFury","sdc38_Knetter-ChipFury.xrns"
38,2009-05-25,3rd,Chotoro,"Etude for a time machine","sdc38_Chotoro-etude_for_a_timemachine.xrns"
38,2009-05-25,4th,J-Tax,"Dream in black and white","dreaminblackandwhite.zip"
38,2009-05-25,5th,agargara,"The Hotel Elevator","sdc38_agargara-theHotelElevator.zip"
38,2009-05-25,6th,chunter,"Unfinished","sdc38_chunter-Unfinished.zip"
38,2009-05-25,7th,Airmann,"Happy to Sad","sdc38_Airmann-happy_to_sad.xrns"
38,2009-05-25,8th,BruchFrei,"Uplifting Question","sdc38_BruchFrei-Bruch_Frei_-_Sound_Evo_-_Round_38_-_Uplifting_Question.zip"
38,2009-05-25,9th,sam_m,"ends of earth","sdc38_sam_m-ends_of_earth.rar"
38,2009-05-25,10th,antismap,"Coming back","sdc38_antismap-coming_back.rar"
38,2009-05-25,11th,attwad,"ekisan","sdc38_attwad-ekisan.zip"
38,2009-05-25,12th,zebra,"a start","sdc38_zebra-a_start.zip"
38,2009-05-25,13th,Shadowbane,"Lift","sdc38_Shadowbane-Uplifting.psy.zip"
38,2009-05-25,AV,Storm,"Dance","sdc38_Storm-Dance.xrns"
39,2009-06-22,1st,chunter,"Simple Things","sdc39_chunter-simplethings.zip"
39,2009-06-22,2nd,Airmann,"Shine On","sdc39_Airmann-shine_on.zip"
39,2009-06-22,3rd,kalachnikov,"You wanna rock","sdc39_kalachnikov-You_wanna_rock.zip"
39,2009-06-22,4th,Storm,"Water is a human right","sdc39_Storm-Water_is_a_human_right.xrns"
39,2009-06-22,5th,Knetter,"Gold & Timber","sdc39_Knetter-Gold_and_Timber.xrns"
39,2009-06-22,6th,iNTERLuNe,"Paradis, Anges et Lumières","sdc39_iNTERLuNe-Paradis_Anges_et_Lumières.rar"
39,2009-06-22,7th,JustinCredible,"eASY pEASY","sdc39_JustinCredible-Easypeasy.rar"
39,2009-06-22,8th,agargara,"Private Pirate","sdc39_agargara-privatePirate.zip"
39,2009-06-22,9th,zebra,"Nyx","sdc39_zebra-nyx.zip"
39,2009-06-22,AV,ELnatural,"39B","sdc39_ELnatural-39b.rar"
39,2009-06-22,AV,CAG,"Saturday (cag mix)","sdc39_CAG-saturday-lossy.xrns"
40,2009-07-30,1st,nt,"finally summer","sdc40_nt-finally_summer.zip"
40,2009-07-30,2nd,iddy,"momentum","sdc40_iddy-momentum.zip"
40,2009-07-30,3rd,Chotoro,"Shadow on the moon in the sea of shadow","sdc40_Chotoro-shadow_on_the_moon_in_the_sea_of_shadow.xrns"
40,2009-07-30,4th,ambtax1,"Three Letters","sdc40_ambtax1-Three_Letters.xrns"
40,2009-07-30,5th,Knetter,"Freedom","sdc40_knetter-freedom_V4.xrns"
40,2009-07-30,6th,Airmann,"Someday Soon","sdc40_Airmann-someday_soon.zip"
40,2009-07-30,7th,Aged_Sonicade,"Theres words inside your head","sdc40_Aged_Sonicade-wordsinsideyourhead.xrns"
40,2009-07-30,8th,juolac,"Read my lips","compo40_read_my_lips.xrns"
40,2009-07-30,9th,JustinCredible,"mOONRAKER","sdc40_JustinCredible-Moonraker.rar"
40,2009-07-30,10th,organic_io,"progress","sdc40_organic_io-progress.zip"
40,2009-07-30,11th,emeu,"Miniatura","sdc40_emeu-miniatura.rar"
40,2009-07-30,12th,agargara,"Indivisible","sdc40_agargara-indivisible.zip"
40,2009-07-30,13th,cralias,"Into The Night","sdc40_cralias-into_the_night.xrns"
40,2009-07-30,14th,attwad,"fujisan","sdc40_attwad-fujisan.zip"
40,2009-07-30,15th,Shadowbane,"Abandoned","sdc40_Shadowbane-abandoned2.psy.gz"
40,2009-07-30,16th,sim,"2tired2","sdc40_sim-2tired2.zip"
40,2009-07-30,17th,chunter,"Past the Apex","sdc40_chunter-pasttheapex.zip"
40,2009-07-30,18th,FingerSoup,"Cheap and Dirty","sdc40_FingerSoup-cheap_and_dirty.zip"
40,2009-07-30,AV,CAG,"Maria Without Warning","sdc40_CAG-maria-lofi.xrns"
41,2009-09-07,1st,Airmann,"Johann I'm sorry","sdc41_Airmann-johann_I_m_sorry.zip"
41,2009-09-07,2nd,Storm,"Johan Pachelbel Canon","sdc41_Storm-Storm_feat_DJ_Vadim-_Johan_Pachelbel_Canon.rar"
41,2009-09-07,3rd,chunter,"Solfeggietto","sdc41_chunter-solfeggietto.zip"
41,2009-09-07,4th,sam_m,"How Fair","sdc41_sam_m-sam_mottaghi-how_fair.xrns"
41,2009-09-07,5th,sim,"Morgenstimmung_sim-Remix","sdc41_sim-morgenstimmung_sim-Remix.rar"
41,2009-09-07,6th,emeu,"Sete Pés","sdc41_emeu-sete_pés.rar"
41,2009-09-07,7th,Marko,"Canon in D (Variation)","sdc41_Marko-CanonVariation.zip"
42,2009-10-05,1st,Necto_Ulin,"Sky Express","sdc42_Necto_Ulin-Sky_Express.zip"
42,2009-10-05,2nd,tenfour,"Maria's Closet","sdc42_tenfour-MariasCloset.zip"
42,2009-10-05,3rd,juolac,"Looking back","sdc42_juolac-looking_back.zip"
42,2009-10-05,4th,chunter,"(This Is a) Test","sdc42_chunter-Test.zip"
42,2009-10-05,5th,Airmann,"Space Walk","sdc42_Airmann-space_walk.zip"
42,2009-10-05,6th,sim,"Out Of Hours","sdc42_sim-out_of_hours.zip"
42,2009-10-05,7th,iNTERLuNe,"Tu fais quoi ce soir ?","sdc42_iNTERLuNe-Tu_fais_quoi_ce_soir.rar"
42,2009-10-05,8th,Knetter,"Low Freaquency","sdc42_Knetter-Low_Freaquency.xrns"
42,2009-10-05,9th,Taiyal,"Tracking","sdc42_Taiyal-Tracking.it.gz"
42,2009-10-05,AV,Shadowbane,"A Light In The Darkness","sdc42_Shadowbane-A_Light_In_The_Darkness.psy.gz"
43,2009-11-02,1st,Knetter,"Heart or Soul (Knetter Remix)","sdc43_Knetter-HeartOrSoul_Knetter_REMIX.xrns"
43,2009-11-02,2nd,Sonicade,"Heart or Soul [Mix-it-up Remix]","sdc43_Sonicade-heartorsoul_mixitup.xrns"
43,2009-11-02,3rd,Airmann,"Brother (Mickrip REMIX)","sdc43_Airmann-brother_remix.zip"
43,2009-11-02,4th,ambtax1,"Mick rippon - Lostviolin (ambtax mess with)","sdc43_ambtax1-mickrippon_lost_violin_(ambtax1_messed_with).xrns"
43,2009-11-02,5th,sim,"Across My Bathtub - SimMix","sdc43_sim-Across_My_Bathtub-SimMix.rar"
43,2009-11-02,6th,chunter,"capslock","sdc43_chunter-capslock-remix.zip"
43,2009-11-02,7th,Marko,"M-ode to Olli","sdc43_Marko-M-odeToOlli.zip"
43,2009-11-02,7th,irrelevnt,"Claytons Revisited (Releversion)","sdc43_irrelevnt-Claytons_Revisited_-_Releversion.rar"
43,2009-11-02,7th,Steve,"A glass half full","sdc43_Steve-Mick_Rippon_A_Glass_Half_Full_Scuba_Steve_Mix.zip"
44,2009-11-30,1st,Knetter,"Sprongy Dub","sdc44_Knetter-sprongy_dub.xrns"
44,2009-11-30,2nd,chunter,"Found, At the Edge of the Forest","sdc44_chunter-sdc44_found.xrns.rar"
44,2009-11-30,3rd,BleedingLiver,"Funk You!","sdc44_BleedingLiver-Funk_you!.xrns.zip"
44,2009-11-30,4th,juolac,"Obofunk","sdc44_obobfunk_v0.42.xrns"
44,2009-11-30,5th,joltz,"Water Dancer","sdc44_joltz-WaterDancer.zip"
44,2009-11-30,6th,Airmann,"Night Flight","sdc44_Airmann-night_flight.zip"
44,2009-11-30,7th,andyray,"Ridley Scott went out for a beer but never came back","sdc44_andyray-SDC44_-_AndyRay_-_Ridley_Scott_went_out_for_a_beer_but_never_came_back.zip"
44,2009-11-30,8th,Shadowbane,"Puddle Drops","sdc44_Shadowbane-Puddle_Drops.psy.zip"
44,2009-11-30,AV,sim,"Taurin","sdc44_sim-Taurin.xrns"
45,2010-01-06,1st,juolac,"Mon Aliza","sdc45_juolac-riwin_mon_aliza.zip"
45,2010-01-06,2nd,chunter,"Away In a Manger","sdc45_chunter-awayinamanger.zip"
45,2010-01-06,3rd,JustinCredible,"tHE sUNSHINE","sdc45_JustinCredible-Sunshine.rar"
45,2010-01-06,4th,Chotoro,"Corded progression","sdc45_Chotoro-corded_progression.xrns"
45,2010-01-06,5th,Airmann,"Analogue Electronica","sdc45_Airmann-analogue_electronica.zip"
45,2010-01-06,6th,cralias,"Diamond Dust (Alt. Ver. \"Uzsniga Sniedzins Balts\")","sdc45_cralias-uzsniga_sniedzins_balts_(diamond_dust).xrns"
45,2010-01-06,7th,nt,"Puppenstube (dollhouse)","nt_-_puppenstube.xrns"
45,2010-01-06,8th,dark_virus,"track with no name at 128bpm","sdc45_dark_virus-Dark_Virus_SDcompo_45_entry.rar"
46,2010-02-10,1st,tenfour,"Nine Pixels of Blood","sdc46_tenfour-NinePixelsOfBlood.xrns"
46,2010-02-10,2nd,Chotoro,"The Prisoner","sdc46_Chotoro-the_prisoner.xrns"
46,2010-02-10,3rd,BleedingLiver,"Uppers or downers?","sdc46_BleedingLiver-uppers_or_downers.xrns.zip"
46,2010-02-10,4th,JustAir,"Freaks Are us","sdc46_JustAir-justair_-_freaks_are_us.zip"
46,2010-02-10,5th,Knetter,"East Clubbers - It's a Dream (Knetter remix)","sdc46_Knetter-East_Clubbers-It_s_a_dream(Knetter_remix).xrns"
46,2010-02-10,6th,ambtax1,"wayfaring stranger - pink skies","sdc46_ambtax1-wayfaring_stranger_-_pink_skies_ambtax1_mix.xrns"
46,2010-02-10,7th,waterhead,"Some funky jamming","sdc46_waterhead-Some_funky_jamming.zip"
46,2010-02-10,8th,irrelevnt,"Arrow of Time","sdc46_irrelevnt-Irrelevant-ArrowOfTime-sdc46.rar"
46,2010-02-10,8th,chunter,"San Agustin","sdc46_chunter-sanagustin.zip"
46,2010-02-10,9th,Airmann,"Avatar 0_5","sdc46_Airmann-airmann_-_avatar_0_5.zip"
46,2010-02-10,10th,juolac,"UNISONata electronica","sdc46_unisonata_electronica.xrns"
46,2010-02-10,11th,Marko,"Yellow fox on the road","sdc46_Marko-yellowfoxontheroad.zip"
47,2010-03-22,1st,Mickrip,"I'll do it for You","sdc47_Mickrip-idoitforyou.xrns"
47,2010-03-22,2nd,tenfour,"The Devil's Portrait","sdc47_tenfour-TheDevilsPortrait.xrns"
47,2010-03-22,2nd,Knetter,"Alpine 8","sdc47_Knetter-Alpine_8.xrns"
47,2010-03-22,3rd,Airmann,"The One And Only","sdc47_Airmann-the_one_and_only.zip"
47,2010-03-22,4th,organic_io,"Repast","sdc47_organic_io-organic_io_-_Repast.rar"
47,2010-03-22,5th,ambtax1,"Myview","sdc47_ambtax1-myview.xrns"
47,2010-03-22,6th,kareniel,"Aŭtonoma","sdc47_kareniel-autonoma.rar"
47,2010-03-22,7th,Steve,"Help I'm Alive (Metric cover)","sdc47_Steve-Help_I_m_Alive.xrns"
47,2010-03-22,7th,chunter,"On a Rainy Day","sdc47_chunter-onarainyday.zip"
47,2010-03-22,8th,iNTERLuNe,"It's Time to Dance !","sdc47_iNTERLuNe-It_s_Time_to_Dance.rar"
47,2010-03-22,AV,CAG,"Heartbreaker (Squelch Dub)","sdc47_CAG-heartbreaker_ogg.xrns"
48,2010-05-03,1st,Airmann,"R3SISTOR","sdc48_Airmann-r3sistor.zip"
48,2010-05-03,2nd,JustinCredible,"bODY cENTERED","sdc48_JustinCredible-BodyCentered.rar"
48,2010-05-03,3rd,tenfour,"Brussel","sdc48_tenfour-Brussel.xrns"
48,2010-05-03,3rd,andyray,"Behepan","sdc48_andyray-sdc48_AndyRay_-_Behepan.zip"
48,2010-05-03,4th,juolac,"Tom is experimenting","sdc48_tom_is_experimenting.zip"
48,2010-05-03,5th,chunter,"Don't Ever Let It Stop","sdc48_chunter-donteverletitstop.zip"
48,2010-05-03,6th,Sam,"Tracker","sdc48_Sam-SDcomp48_Entry.zip"
49,2010-06-07,1st,Chotoro,"Making Waves","sdc49_Chotoro-making_waves.xrns"
49,2010-06-07,2nd,nt,"Falling Drop","nt_-_falling_drop.xrns"
49,2010-06-07,3rd,chunter,"Lydia Valley and Lydia Cave","sdc49_chunter-sdc49_lydiavalleyandcave.xrns"
49,2010-06-07,4th,iNTERLuNe,"Les Portes de Rome","sdc49_iNTERLuNe-Les_Portes_de_Rome.rar"
49,2010-06-07,5th,Shadowbane,"Wandering Mind","sdc49_Shadowbane-Wandering_Mind.psy.rar"
49,2010-06-07,6th,emeu,"One Round For This Round","sdc49_emeu-one_round_for_this_round.zip"
49,2010-06-07,7th,KungFuFurby,"How Not to be Classical","sdc49_KungFuFurby-HowNotToBeClassical.zip"
50,2010-07-19,1st,juolac,"One Single Pattern","sdc50_juolac-sdc50_One_Single_Pattern.xrns"
50,2010-07-19,2nd,andyray,"You Know Something","sdc50_andyray-SDC50_-_AndyRay_-_You_Know_Something.ZIP"
50,2010-07-19,3rd,Airmann,"Five Ooooo","sdc50_Airmann-five_ooooo.zip"
50,2010-07-19,4th,JustinCredible,"Eyes Closed","sdc50_JustinCredible-JC_Eyes_Closed.rar"
50,2010-07-19,5th,chunter,"Congratulations!","sdc50_chunter-congratulations.zip"
50,2010-07-19,6th,KungFuFurby,"Shadow of Shadows","sdc50_KungFuFurby-SDC50ShadowOfShadowsSourceITFile.zip"
50,2010-07-19,7th,insanity,"Fifty Things","sdc50_insanity-Fifty_Things.xrns"
50,2010-07-19,8th,Shadowbane,"Anthem for round 50","sdc50_Shadowbane-Anthem_for_round_50.psy.zip"
51,2010-08-23,1st,Knetter,"Capture The Flag","sdc51_Knetter-CaptureTheFlag.xrns"
51,2010-08-23,1st,tenfour,"Tot Vrijdag","sdc51_tenfour-TotVrijdag.xrns"
51,2010-08-23,2nd,Harmony,"Cinnamon","sdc51_Harmony-cinnamon.zip"
51,2010-08-23,3rd,Chotoro,"Sunrise newspaper","sdc51_Chotoro-sunrise_newspaper.xrns"
51,2010-08-23,4th,juolac,"EBM for SDC","sdc51_juolac-sdc_51_EBM_for_SDC.xrns"
51,2010-08-23,5th,Airmann,"The Pros","sdc51_Airmann-the_pros.zip"
51,2010-08-23,6th,KungFuFurby,"SynthMania","sdc51_KungFuFurby-SDC51SynthManiaSourceITFile.zip"
51,2010-08-23,7th,Marko,"Heat wave","sdc51_Marko-Heatwave.zip"
51,2010-08-23,8th,chunter,"We Hold These Truths","sdc51_chunter-weholdthesetruths.zip"
51,2010-08-23,9th,insanity,"55 secs to liftoff","sdc51_insanity-55_seconds_to_liftoff.xrns"
52,2010-10-04,1st,Knetter,"Waiting for the Water to Rise","sdc52_Knetter-Waiting_for_the_Water_to_Rise.xrns"
52,2010-10-04,2nd,chunter,"Sharpness","sdc52_chunter-sdc52-sharpness.xrns"
52,2010-10-04,3rd,Lechache,"Fitty2puf.","sdc52_Lechache-Fitty2puf..rar"
52,2010-10-04,4th,jonobo,"PixelPiano","sdc52_jonobo-sdc52___PixelPiano___by_Jonobo.zip"
52,2010-10-04,5th,andyray,"CheeseSandwich & Coffee","sdc52_andyray-SDC52_-_AndyRay_-_Cheesesandwich&Coffee.xrns"
52,2010-10-04,6th,agnes,"dolphin","sdc52_agnes-dolphin.zip"
53,2010-11-09,1st,nt,"Background Music for a Splatter Movie","nt_-_background_music_for_a_splatter_movie.zip"
53,2010-11-09,2nd,ambtax1,"Nowhere","sdc53_ambtax1-Nowhere.xrns"
53,2010-11-09,3rd,cralias,"Clear Sky","sdc53_cralias-clear_sky_r04.xrns"
53,2010-11-09,4th,Chotoro,"Theses","sdc53_Chotoro-theses.xrns"
53,2010-11-09,5th,JustinCredible,"pSYCHOACTIVITY","sdc53_JustinCredible-Psychoactivity.rar"
53,2010-11-09,6th,chunter,"No Wasted Time","sdc53_chunter-sdc53-nowastedtime.zip"
53,2010-11-09,7th,organic_io,"Autumnal Splendor","sdc53_organic_io-Autumnal_Splendor.rar"
54,2010-12-25,1st,nt,"Christmas Edition","xmas_edition.zip"
54,2010-12-25,2nd,Chotoro,"Frozen","sdc54_Chotoro-frozen.xrns"
54,2010-12-25,3rd,chunter,"Snowflakes","sdc54_chunter-sdc54-snowflakes.xrns.zip"
54,2010-12-25,4th,iddy,"The Longest Night in Winter","the_longest_night_in_winter.zip"
54,2010-12-25,5th,cralias,"Winter Mirage","sdc54_cralias-winter_mirage_r03.5.xrns"
54,2010-12-25,6th,joltz,"Jingle Bass","sdc54_joltz-jinglebass.zip"
54,2010-12-25,7th,juolac,"The Chamber","sdc_54_da_chamber.zip"
54,2010-12-25,8th,iNTERLuNe,"Enya-My Time Flies (iNTERLuNe Mix)","sdc54_iNTERLuNe-Enya-My_Time_Flies_(iNTERLuNe_Mix).xrns"
54,2010-12-25,9th,Hyakkimaru,"Winter Wonderland","sdc54_Hyakkimaru-WinterWonderland.rar"
54,2010-12-25,10th,jonobo,"Znowflakez","sdc54_jonobo-20101123___sdc54___znowflakez.rar"
54,2010-12-25,11th,Airmann,"unfinished","sdc54_Airmann-unfinished.zip"
54,2010-12-25,12th,juholento,"winter atmospheres","sdc54_juholento-winter_atmospheres.rar"
54,2010-12-25,13th,Sallecta,"Matrix Snow","sdc54_Sallecta-Sallecta-MatrixSnow.zip"
54,2010-12-25,AV,Sonicade,"Silver Bells","sdc54_Sonicade-Silver_Bells.xrns"
